handle	title	abstract
Abdulmajeed2020-ONLINE_FORECASTING_OF_COVID-19_CASES_IN_NIGERIA_USING_LIMITED_DATA	ESTIMACIÓN EN LÍNEA DE CASOS DE COVID-19 EN NIGERIA UTLIZANDO INFORMACIÓN LIMITADA	La nueva enfermedad del coronavirus (COVID-19) se identificó por primera vez en Wuhan, China en diciembre de 2019, pero posteriormente se extendió a otras partes del mundo. La enfermedad al momento de escribir este artículo se ha declarado una pandemia por la Organización Mundial de la Salud (OMS). La aplicación de modelos matemáticos, inteligencia artificial, macrodatos y metodologías similares son herramientas potenciales para predecir el grado de propagación y efectividad de las estrategias de contención para frenar la transmisión de esta enfermedad. En sociedades con infraestructuras de datos limitados, la modelación y la predicción del COVID-19 se convierte en una tarea extremadamente difícil. Sin embargo, proponemos un mecanismo de pronóstico en línea que trasmite datos desde el Centro de Nigeria para el Control de Enfermedades para actualizar los parámetros de un modelo de ensamble que a su vez proporcione pronósticos actualizados de COVID-19 cada 24 horas. El ensamble combina un modelo autorregresivo integrado de promedio móvil (ARIMA), Prophet - un modelo aditivo de regresión desarrollado por Facebook, y un modelo de suavizado exponencial de Holt-Winters combinado con heterocedasticidad condicional autorregresiva generalizada (GARCH). Se espera que los resultados de estos esfuerzos proporcionen el impulso académico para guiar a los formuladores de políticas en el despliegue de estrategias de contención y/o la evaluación de intervenciones de contención en la propagación de la enfermedad en Nigeria.
Abeygunasekera2020-Is_the_anti-filarial_drug_diethylcarbamazine_useful_to_treat_COVID-19	¿Es útil la dietilcarbamazina, droga contra la filaria, para tratar el COVID-19?	El virus SARS-CoV-2 ha resultado en una pandemia devastadora de COVID-19.En este momento la necesidad es explorar compuestos que podrían ofrecer un avance en el tratamiento. Reponer fármacos baratos, plenamente disponibles y seguros es una prioridad. El artículo presenta pruebas para el uso potencial de la dietilcarbamazina (DEC) en el tratamiento del COVID-19. La DEC tiene efectos inhibidores sobre el metabolismo del ácido araquidónico para las prostaglandinas, pocas consecuencias antivirales conocidas en los retrovirus animales y resultados antiinflamatorios probados en modelos animales de inflamación pulmonar, lo que indica la importancia de explorar esta hipótesis. Creemos que es la primera vez que se propone usar la DEC parar tratar el COVID-19.
Abid2020-Progress_of_COVID-19_Epidemic_in_Pakistan	Progreso de la epidemia COVID-19 en Pakistán	El brote de coronavirus iniciado como una neumonía de causa desconocida en diciembre de 2019 en Wuhan, China, se ha extendido rápidamente de Wuhan a otros países. El 30 de enero de 2020, la Organización Mundial de la Salud (OMS) declaró el brote de coronavirus como la sexta emergencia de salud pública de preocupación internacional (ESPII) y el 11 de marzo de 2020, la OMS anunció que el coronavirus era una pandemia. Se cree que el coronavirus está aumentando en Pakistán. El primer caso de coronavirus se reportó en Karachi el 26 de febrero de 2020, con una población estimada en Pakistán de 204,65 millones. Sucesivamente, el virus se propaga en varias regiones de todo el país y actualmente se ha convertido en una epidemia. La OMS ha advertido a Pakistán que el país podría enfrentarse ante un gran desafío contra el brote de coronavirus en los próximos días. Esta breve comunicación se lleva para arrojar luz sobre la epidemia de coronavirus en el país. Ayudaría a destacar la situación actual en pocas palabras y las medidas adoptadas por el sector de la salud del Pakistán para reducir el riesgo de comunicación.
Abrishami2020-Clinical_Course_Imaging_Features_and_Outcomes_of_COVID-19_in_Kidney_Transplant_Recipients	Evolución, características de la imagen y resultados del COVID-19 en receptores de trasplante renal.	La enfermedad de coronavirus de 2019 (COVID-19) es una enfermedad novedosa y altamente contagiosa causada por el coronavirus tipo 2 del síndrome respiratorio agudo grave (SARS-CoV-2). Los adultos mayores y los pacientes con comorbilidades y condiciones inmunosupresoras pueden experimentar signos y síntomas graves que pueden llevar a la muerte. Esta serie de casos evalúa el curso clínico, las características de la imagen y los resultados de 12 pacientes con COVID-19 y antecedentes de trasplante renal. Se evaluaron los síntomas, los datos de laboratorio, los hallazgos de las imágenes y los resultados de febrero desde 2020 hasta abril de 2020. Fiebre, tos y disnea fueron los síntomas clíncos más comunes, detectados en el 75% (9/12), el 75% (9/12) y el 41,7% (5 /12) de los pacientes, respectivamente. La mayoría de los pacientes tuvo un recuento de glóbulos blancos normal, mientras que el 33,3% (4/12) presentaba leucopenia y el 8,3% (1/12) leucocitosis. La combinación de consolidación y opacidad en vidrio esmerilado fue el patrón de afectación pulmonar más predominante (75%) en las tomografías computarizadas (TC). Ocho pacientes fallecieron por neumonía grave por el COVID-19 y síndrome de distrés respiratorio agudo, y cuatro fueron dados de alta. Todos los casos recuperados presentaron un patrón periférico unilateral de compromiso limitado a una sola zona en la TC de tórax inicial. Parece que la tomografía computarizada tiene un papel importante en la predicción de los resultados del COVID-19 en pacientes trasplantados con órganos sólidos. Se necesitan futuros estudios con seguimiento a largo plazo y más casos para dilucidar el diagnóstico, la evolución y las estrategias de manejo del COVID-19 en estos pacientes.
Achakulvisut2020-Improving_on_legacy_conferences_by_moving_online	Mejoras en las conferencias al implementar opciones en línea	Las conferencias y reuniones científicas tienen un papel importante en la investigación, pero también tienen numerosos inconvenientes: en particular, pueden tener una huella de carbono enorme, y los altos costos que conlleva asistir pueden excluir a muchos participantes potenciales. La pandemia de COVID-19 llevó a la cancelación de muchas conferencias, obligando a la comunidad científica a explorar alternativas en línea. Aquí presentamos nuestra experiencia al organizar una conferencia de neurociencia en línea, neurocorrespondencia, que atrajo a unos 3.000 participantes y contó con dos días de charlas, debates, discusiones de panel y reuniones uno a uno realizadas por un algoritmo de correspondencia. Al ofrecer la mayoría de los beneficios de las conferencias tradicionales, varias ventajas claras, y con menos inconvenientes, creemos que las conferencias en línea tienen el potencial de sustituir a muchas de las conferencias presenciales.
Acter2020-Evolution_of_severe_acute_respiratory_syndrome_coronavirus_2_SARS-CoV-2_as_coronavirus_disease_2019_COVID-19_pandemic-A_global_health_emergency	Evolución del SARS coronavirus 2 (SARS-CoV-2) como la pandemia de 2019 de la enfermedad de coronavirus (COVID-19): una emergencia sanitaria mundial	Según los datos recopilados por los investigadores de la Universidad Johns Hopkins en Baltimore, Maryland, se han confirmado más de dos millones y medio de casos de coronavirus 2019 (COVID-19), causado por un virus descubierto recientemente llamado coronavirus 2 del síndrome respiratorio agudo severo (SARS-CoV-2) (Nature, 2020b). Desde la aparición de esta enfermedad infecciosa en Asia (Wuhan, China) a finales del año pasado, se ha extendido posteriormente a todos los continentes del mundo, excepto a la Antártida (Rodríguez-Morales et al., 2020).Además de haberse establecido en todos los países, esta enfermedad pandémica altera prácticamente todos los aspectos de la vida en todos los lugares del mundo.A medida que el brote sigue evolucionando, se han llevado a cabo varias actividades de investigación para comprender mejor el origen, las funciones, los tratamientos y las prevenciones de este nuevo coronavirus. Esta revisión será un resumen de las características clave del nuevo coronavirus (nCoV), el virus que causa la enfermedad de 2019 y la actual situación epidémica en el mundo hasta el 20 de abril de 2020. Se espera que este récord desempeñe un papel importante en la adopción de más medidas preventivas para superar los retos a los que se enfrenta la actual pandemia.
Acuña-Zegarra2020-Modeling_behavioral_change_and_COVID-19_containment_in_Mexico-A_trade-off_between_lockdown_and_compliance	Modelando el cambio de comportamiento y la contención de COVID-19 en México: el equilibrio entre el confinamiento y la conformidad	Las medidas sanitarias de emergencia (SEM por sus siglas en inglés) se implementaron en México el 30 de marzo de 2020 y requerían la suspensión de actividades no esenciales. Esta acción siguió a una acción sanitaria de distanciamiento saludable del 23 de marzo de 2020. El objetivo de ambas medidas era reducir la transmisión comunitaria del COVID-19 en México disminuyendo la tasa efectiva de contacto. Utilizando una modificación del modelo SEIR de Kermack-McKendrick, exploramos el efecto de los cambios de comportamiento necesarios para reducir la transmisión en la comunidad, introduciendo una tasa de contacto variable en el tiempo, y las consecuencias de la propagación de la enfermedad en una población sujeta a la suspensión de actividades no esenciales. Nuestro estudio muestra que existe un equilibrio entre la proporción de la población bajo medidas sanitarias de emergencia y el tiempo promedio que un individuo se compromete con todos los cambios de comportamiento necesarios para lograr un distanciamiento social efectivo. Este compromiso genera un valor óptimo para la proporción de la población bajo estrictas medidas de mitigación, significativamente por debajo de 1 en algunos casos, que minimiza la máxima incidencia de COVID-19.Estudiamos el impacto poblacional de tres factores clave: la aplicación de medidas de control con cambio de comportamiento, el horizonte temporal necesario para reducir la tasa efectiva de contacto y la proporción de personas bajo medidas sanitarias de emergencia en la lucha contra el COVID-19. Nuestro modelo se ajusta a los datos disponibles.La fase inicial de la epidemia, desde el 17 de febrero al 23 de marzo de 2020, se utiliza para estimar las tasas de contacto, los periodos infecciosos y la tasa de mortalidad utilizando tanto casos confirmados (desde la fecha de inicio de los síntomas) como la mortalidad diaria. Los datos sobre las muertes ocurridas después del 23 de marzo de 2020 se utilizan para estimar la tasa de mortalidad tras de la aplicación de las medidas de mitigación. Las simulaciones realizadas indican que las fechas con más probabilidad de tener máxima incidencia se encuentran entre finales de mayo y principios de junio de 2020, en un escenario de alta conformidad con las medidas sanitarias de emergencia y una baja tasa de abandono de estas medidas.
Adair2020-Chest_CT_Findings_of_Early_and_Progressive_Phase_COVID-19_Infection_from_a_US_Patient	Hallazgos en la tomografía de tórax de la fase temprana y progresiva de la infección COVID-19 de un paciente de Estados Unidos.	La infección por el SARS-CoV-2 (COVID-19), originalmente detectada en Wuhan (China), ha proliferado rápidamente en varios continentes; el primer caso en los Estados Unidos se notificó el 19 de enero de 2020. Según las directrices de la universidad americana de radiología (ACR por sus siglas en inglés), publicadas poco después de que esta enfermedad se declarara pandémica, se espera que los radiólogos se familiaricen con la aparición de la infección por COVID-19 en las tomografías para poder identificar los hallazgos específicos de esta entidad. El informe de este caso discute los hallazgos relevantes de las imágenes de uno de los primeros casos en el medio oeste de los Estados Unidos. Se trata de un hombre de 60 años que presentó fiebre, disnea y tos durante una semana y que posteriormente dio positivo en la prueba de COVID-19. La utilidad de la tomografía de tórax sin contraste en el diagnóstico de la COVID-19 ha sido controvertida, pero hay hallazgos específicos de imágenes que se han asociado cada vez más con este virus en el contexto clínico apropiado. Se consideran las etapas de los hallazgos de las imágenes en COVID-19 junto con las implicaciones de la fibrosis a lo largo de las etapas. Algunas consideraciones futuras incluyen el uso de algoritmos de inteligencia artificial para distinguir entre las neumonías adquiridas en la comunidad y la infección por COVID-19.
Adam2020-Concerns_over_UK_advice	Preocupaciones sobre los consejos al Reino Unido	Algunos datos científicos clave y consejos al gobierno del Reino Unido no se publicarán hasta que la pandemia de coronavirus termine, informa David Adam.
Adamowicz2020-May_patients_receiving_5-alpha-reductase_inhibitors_be_in_higher_risk_of_COVID-19_complications	¿Podría ser que los pacientes que reciben inhibidores de la 5-alfa-reductasa tengan un mayor riesgo de complicaciones del COVID-19?	La pandemia de COVID-19 es un importante reto para los proveedores de atención sanitaria mundial y nacional. El número de nuevos casos aumenta continuamente, con una tendencia emergente que muestra un peor pronóstico en los hombres en comparación con las mujeres. Basándonos en esta observación, nuestra hipótesis propuesta es que los inhibidores de la 5-alfa-reductasa, que se utilizan comúnmente para el tratamiento de la HBP, pueden ser uno de los factores que contribuyen a un peor pronóstico en los hombres. Antecedentes Con el aumento del número de casos de COVID-19, se puede observar una evidente diferencia dependiente del sexo en los resultados de la enfermedad. Según estudios publicados con seguimiento a corto plazo, los hombres tienen una tasa de mortalidad un 65% más alta. Sigue existiendo la incógnita de si los estudios de observación a largo plazo confirmarán la mejora de la recuperación en las mujeres.
Adams2020-Achieving_a_Popliteal_Venous_Access_for_RRT_in_Critically_Ill_COVID-19_Patient_in_Prone_position	Conseguir un acceso venoso poplíteo para RRT en un paciente COVID-19 críticamente enfermo en posición prona	Este paciente es un hombre de 67 años que inicialmente se presentó en nuestro centro con un fallo respiratorio agudo secundario a la COVID-19. Poco después de llegar a nuestras instalaciones, el paciente se descompensó, desarrollando un severo síndrome de dificultad respiratoria aguda (SDRA) que requirió intubación y posicionamiento propenso para mantener una oxigenación adecuada. A lo largo de los próximos días, el paciente desarrolló una lesión renal aguda con oliguria y sobrecarga grave de volumen. El servicio de cirugía vascular fue consultado para obtener acceso venoso central por PCR emergente. En nuestro examen, el paciente fue sedado y paralizado en una cama rotatoria. No se podía colocar en posición supina sin quedar inmediatamente hipóxico y descompensado. Se insertó un Permcath de 50 cm por la vena poplítea izquierda. Este informe de caso esboza un posible escenario desafiante que puede encontrar el intervencionista vascular cuando se trata de pacientes con COVID-19 con compromiso respiratorio en posición prona.
Adekunle2020-Modelling_spatial_variations_of_coronavirus_disease_COVID-19_in_Africa	Modelización de las variaciones espaciales de la enfermedad coronavírica (COVID-19) en África	Desde finales de 2019 se ha avanzado en las pruebas clínicas y epidemiológicas de la transmisión entre humanos del nuevo coronavirus que asola el mundo. Sin embargo, los brotes en la transmisión humana todavía no se han explorado. En este estudio, examinamos la densidad espacial y le dimos credibilidad estadística al debate global. Construimos variaciones espaciales de grupos que examinaron el nexo entre las muertes atribuibles a COVID-19 y los casos confirmados. Nos basamos en los datos disponibles públicamente sobre los casos confirmados y las muertes en toda África para desentrañar los factores no observados, que podrían ser responsables de la propagación de COVID-19. Nos basamos en el procedimiento de estimación de momento del sistema dinámico generalizado y encontramos un ~0,045 muertes de Covid19 como resultado de casos confirmados en África. Hemos tenido en cuenta la dependencia transversal y hemos encontrado una base para la estricta relación ortogonal. Se debatieron medidas normativas.
