Abdolahi2020-Letter_to_the_editor-efficacy_of_different_methods_of_combination_regimen_administrations_including_dexamethasone_intravenous_immunoglobulin_and_interferon-beta_to_treat_critically_ill_COVID-19_patients-a_structured_summary_of_a_study_protocol_for_a_randomized_controlled_trial	ObjectivesThere is little information about Coronavirus Disease 2019 (COVID-19) management for critically ill patients. Most of these patients develop acute respiratory distress syndrome (ARDS) due to excessive inflammatory response and the ensuing cytokine storm. Anti-inflammatory drugs including corticosteroids can be used to effectively reduce the effect of this cytokine storm and lung damage. However, corticosteroids can have side effects, so simultaneous administration of immunoglobulin (IV-IG) and interferon-beta can help manage treatment using corticosteroids. Therefore, we designed a trial to test our hypothesis that early administration of dexamethasone in combination with IV-IG and interferon-beta can reduce the effect of the cytokine storm in critically ill patients COVID-19.Trial designA phase two multi-center randomized controlled trial (RCT) with three parallel arms (1:1:1 ratio).ParticipantsIntervention and comparatorMain outcomesRandomisationParticipants will be allocated into either control or intervention groups with a 1:1:1 allocation ratio using a computer random number generator to generate a table of random numbers for simple randomization.Blinding (masking)The project's principal investigator (PI) is unblinded. However, the PI will not analyse the data and interpret the results. An unblinded researcher (a pharmacist) will cover the drug’s bottles with aluminium foil and prepare them interventions and control drugs in a syringe with a code so that patients are blinded. This person will have no patients contact. The staff and nurses, caring for the patients, will be unblinded for each study group due to the nature of this study. The staff that take outcome measurements will be blinded. The laboratory technicians will also be blinded as well as the statistical team. These study statisticians will have access to coded data and will analyse the data labelled as group X, group Y, and group Z.Numbers to be randomised (sample size)The target sample size will be 105 critically ill COVID-19 patients, who will be allocated randomly to the three trial arms with 35 patients in each group.Trial statusRecruitment is ongoing. The study began on April 18 2020 and will be completed June 19 2020. This summary describes protocol version 1; April 2 2020.Trial registration. Identifier: IRCT20120225009124N4 version 1; Registration date: April 2 2020.Full protocolThe full protocol is attached as an additional file, accessible from the Trials website (Additional file ). In the interest in expediting the dissemination of this material, the familiar formatting has been eliminated; this Letter serves as a summary of the key elements of the full protocol. The full protocol has been reported in accordance with the Standard Protocol Items: Recommendations for Clinical Interventional Trials (SPIRIT) guidelines.
Abduljalil2020-Epidemiology_genome_and_clinical_features_of_the_pandemic_SARS-CoV-2-a_recent_view	Since the emergence of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Wuhan, China, the number of globally confirmed cases according to World Health Organization statistics reached 292 124 in 189 countries by 22 March 2020. The number of deaths reached 12 784, with estimated case-fatality rates ranging from 0.5% to 5.7%. Children population seems to be the least affected by the disease, while the highest rate of death is among the elderly and people with comorbidities. Most infected individuals are asymptomatic or only exhibit mild symptoms. After the incubation period, the most common symptoms are fever, cough and fatigue. Asymptomatic carrier state is of paramount importance because of carriers' ability to spread the infection and to shed the virus into the air and surroundings. Although much is still unknown about SARS-CoV-2, the scientific research is moving at an unprecedented pace towards understanding the nature, effective control, prevention and treatment of SARS-CoV-2. Various reports have suggested an in vivo evolution of the virus, which may explain the rapid spread and changing epidemiology of SARS-CoV-2, but further evidence is needed. Unfortunately, no effective treatment or therapeutic drug is available for the disease; only supportive treatment and classical intervention measures are available for confronting the SARS-CoV-2 pandemic.
Abdullah2020-A_Critical_Appraisal_of_COVID-19_in_Malaysia_and_Beyond	When the first report of COVID-19 appeared in December 2019 from Wuhan, China, the world unknowingly perceived this as another flu-like illness. Many were surprised at the extreme steps that China had subsequently taken to seal Wuhan from the rest of the world. However, by February 2020, the SARS-CoV-2 virus, which causes COVID-19, had spread so quickly across the globe that the World Health Organization officially declared COVID-19 a pandemic. COVID-19 is not the first pandemic the world has seen, so what makes it so unique in Malaysia, is discussed to avoid a future coronacoma.
Abdullah2020-Air_quality_status_during_2020_Malaysia_Movement_Control_Order_MCO_due_to_2019_novel_coronavirus_2019-nCoV_pandemic	An outbreak of respiratory illness which is proven to be infected by a 2019 novel coronavirus (2019-nCoV) officially named as Coronavirus Disease 2019 (COVID-19) was first detected in Wuhan, China and has spread rapidly in other parts of China as well as other countries around the world, including Malaysia. The first case in Malaysia was identified on 25 January 2020 and the number of cases continue to rise since March 2020. Therefore, 2020 Malaysia Movement Control Order (MCO) was implemented with the aim to isolate the source of the COVID-19 outbreak. As a result, there were fewer number of motor vehicles on the road and the operation of industries was suspended, ergo reducing emissions of hazardous air pollutants in the atmosphere. We had acquired the Air Pollutant Index (API) data from the Department of Environment Malaysia on hourly basis before and during the MCO with the aim to track the changes of fine particulate matter (PM2.5) at 68 air quality monitoring stations. It was found that the PM2.5 concentrations showed a high reduction of up to 58.4% during the MCO. Several red zone areas (>41 confirmed COVID-19 cases) had also reduced of up to 28.3% in the PM2.5 concentrations variation. The reduction did not solely depend on MCO, thus the researchers suggest a further study considering the influencing factors that need to be adhered to in the future.
Abdulmajeed2020-ONLINE_FORECASTING_OF_COVID-19_CASES_IN_NIGERIA_USING_LIMITED_DATA	The novel Coronavirus disease (COVID-19) was first identified in Wuhan, China in December 2019 but later spread to other parts of the world. The disease as at the point of writing this paper has been declared a pandemic by the World Health Organization (WHO). The application of mathematical models, artificial intelligence, big data, and similar methodologies are potential tools to predict the extent of the spread and effectiveness of containment strategies to stem the transmission of this disease. In societies with constrained data infrastructures, modeling and forecasting COVID-19 becomes an extremely difficult endeavor. Nonetheless, we propose an online forecasting mechanism that streams data from the Nigeria Center for Disease Control to update the parameters of an ensemble model which in turn provides updated COVID-19 forecasts every 24 hours. The ensemble combines an Auto-Regressive Integrated Moving Average model (ARIMA), Prophet - an additive regression model developed by Facebook, and a Holt-Winters Exponential Smoothing model combined with Generalized Autoregressive Conditional Heteroscedasticity (GARCH). The outcomes of these efforts are expected to provide academic thrust in guiding the policymakers in the deployment of containment strategies and/or assessment of containment interventions in stemming the spread of the disease in Nigeria
Abeygunasekera2020-Is_the_anti-filarial_drug_diethylcarbamazine_useful_to_treat_COVID-19	SARS-CoV-2 virus has resulted in a devastating pandemic of COVID-19. Exploring compounds that could offer a breakthrough in treatment is the need of the hour. Re-positioning cheap, freely available and safe drugs is a priority. The paper proposes evidence for the potential use of diethylcarbamazine (DEC) in the treatment of COVID-19. DEC has inhibitory effects on arachidonic acid metabolism to prostaglandins, little known anti-viral effects on animal retroviruses and demonstrated anti-inflammatory actions in animal models of lung inflammation indicating the need to explore this hypothesis further. We believe this is the first time DEC is being proposed to treat COVID-19.
Abid2020-Progress_of_COVID-19_Epidemic_in_Pakistan	The outbreak of corona virus initiated as pneumonia of unknown cause in December 2019 in Wuhan, China, which has been now spreading rapidly out of Wuhan to other countries. On January 30, 2020, the World Health Organization (WHO) declared coronavirus outbreak as the sixth public health emergency of international concern (PHEIC), and on March 11, 2020, the WHO announced coronavirus as pandemic. Coronavirus is thought to be increasing in Pakistan. The first case of coronavirus was reported from Karachi on February 26, 2020, with estimated populace of Pakistan as 204.65 million. Successively, the virus spreads into various regions nationwide and has currently become an epidemic. The WHO has warned Pakistan that the country could encounter great challenge against the outbreak of coronavirus in the coming days. This short communication is conducted to shed light on the epidemic of coronavirus in the country. It would aid in emphasizing the up-to-date situation in a nutshell and the measures taken by the health sector of Pakistan to abate the risk of communication.
Abidha2020-Transmission_and_evolutionary_dynamics_of_human_coronavirus_OC43_strains_in_coastal_Kenya_investigated_by_partial_spike_sequence_analysis_2015_16	Human coronavirus OC43 (HCoV-OC43) is a major contributor to seasonal outbreaks of acute respiratory illness (ARI). The origins of locally circulating HCoV-OC43 strains and characteristics of their genetic diversity are unknown for most settings despite significance to effective HCoV control strategies. Between December 2015 and June 2016, we undertook ARI surveillance in coastal Kenya in nine outpatients and one inpatient health facility (HF). Ninety-two patient samples tested HCoV-OC43 positive and forty (43.5%) were successfully sequenced in spike (S) gene region (2,864 long, ∼70%). Phylogenetic analysis confirmed co-circulation of two distinct HCoV-OC43 clades that closely clustered with genotype G (n = 34, 85%) and genotype H (n = 6, 15%) reference strains. Local viruses within the same clade displayed low genetic diversity yielding identical sequences in multiple HF. Furthermore, the newly sequenced Kenyan viruses showed close phylogenetic relationship to other contemporaneous sampled strains (2015–16) including those originating from distant places (e.g. USA and China). Using a genetic similarity threshold of 99.1 per cent at nucleotide level, the HCoV-OC43 strains sampled globally between 1967 and 2019 fell into nine sequence clusters. Notably, some of these clusters appeared to have become extinct, or occurred only sporadically in a few geographical areas while others persisted globally for multiple years. In conclusion, we found that HCoV-OC43 strains spread rapidly both locally and across the globe with limited genetic evolution in the spike gene. Full-genome sequences that are spatio-temporally representative are required to advance understanding of the transmission pathways of this important human respiratory pathogen.
Abrishami2020-Clinical_Course_Imaging_Features_and_Outcomes_of_COVID-19_in_Kidney_Transplant_Recipients	Coronavirus disease 2019 (COVID-19) is a novel and highly contagious disease caused by Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Older adults and patients with comorbidities and immunosuppressive conditions may experience severe signs and symptoms that can lead to death. This case series assesses the clinical course, imaging features, and outcomes for 12 patients with COVID-19 and a history of kidney transplantation. Patients were evaluated for symptoms, laboratory data, imaging findings, and outcomes from February 2020 to April 2020. Fever, cough, and dyspnea were the most common clinical symptoms, noted in 75% (nine/12), 75% (nine/12), and 41.7% (five/12) of the patients, respectively. Most of the patients had a normal white blood cell count, while 33.3% (four/12) had leukopenia and 8.3% (one/12) had leukocytosis. A combination of consolidation and ground glass opacity was the most predominant (75%) pattern of lung involvement on computed tomography (CT). Eight patients died of severe COVID-19 pneumonia and acute respiratory distress syndrome and four were discharged. All recovered cases had a unilateral peripheral pattern of involvement limited to only one zone on initial chest CT. It seems that CT imaging has an important role in predicting COVID-19 outcomes for solid organ transplant recipients. Future studies with long-term follow up and more cases are needed to elucidate COVID-19 diagnosis, outcome, and management strategies for these patients.
Achakulvisut2020-Improving_on_legacy_conferences_by_moving_online	Scientific conferences and meetings have an important role in research, but they also suffer from a number of disadvantages: in particular, they can have a massive carbon footprint, they are time-consuming, and the high costs involved in attending can exclude many potential participants. The COVID-19 pandemic has led to the cancellation of many conferences, forcing the scientific community to explore online alternatives. Here, we report on our experiences of organizing an online neuroscience conference, neuromatch, that attracted some 3000 participants and featured two days of talks, debates, panel discussions, and one-on-one meetings facilitated by a matching algorithm. By offering most of the benefits of traditional conferences, several clear advantages, and with fewer of the downsides, we feel that online conferences have the potential to replace many legacy conferences.
Acter2020-Evolution_of_severe_acute_respiratory_syndrome_coronavirus_2_SARS-CoV-2_as_coronavirus_disease_2019_COVID-19_pandemic-A_global_health_emergency	According to data compiled by researchers at Johns Hopkins University in Baltimore, Maryland, more than two and half million cases of coronavirus disease 2019 (COVID-19), caused by a newly discovered virus named severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), have been confirmed on April 20, 2020 (Nature, 2020b). Since the emergence of this infectious disease in Asia (Wuhan, China) late last year, it has been subsequently span to every continent of the world except Antarctica (Rodríguez-Morales et al., 2020). Along with a foothold in every country, the current disease pandemic is disrupting practically every aspect of life all over the world. As the outbreak are continuing to evolve, several research activities have been conducted for better understanding the origin, functions, treatments, and preventions of this novel coronavirus. This review will be a summa of the key features of novel coronavirus (nCoV), the virus causing disease 2019 and the present epidemic situation worldwide up to April 20, 2020. It is expected that this record will play an important role to take more preventive measures for overcoming the challenges faced during this current pandemic.
Acuña-Zegarra2020-Modeling_behavioral_change_and_COVID-19_containment_in_Mexico-A_trade-off_between_lockdown_and_compliance	Sanitary Emergency Measures (SEM) were implemented in Mexico on March 30th, 2020 requiring the suspension of non-essential activities. This action followed a Healthy Distance Sanitary action on March 23rd, 2020. The aim of both measures was to reduce community transmission of COVID-19 in Mexico by lowering the effective contact rate. Using a modification of the Kermack-McKendrick SEIR model we explore the effect of behavioral changes required to lower community transmission by introducing a time-varying contact rate, and the consequences of disease spread in a population subject to suspension of non-essential activities. Our study shows that there exists a trade-off between the proportion of the population under SEM and the average time an individual is committed to all the behavioral changes needed to achieve an effective social distancing. This trade-off generates an optimum value for the proportion of the population under strict mitigation measures, significantly below 1 in some cases, that minimizes maximum COVID-19 incidence. We study the population-level impact of three key factors: the implementation of behavior change control measures, the time horizon necessary to reduce the effective contact rate and the proportion of people under SEM in combating COVID-19. Our model is fitted to the available data. The initial phase of the epidemic, from February 17th to March 23rd, 2020, is used to estimate the contact rates, infectious periods and mortality rate using both confirmed cases (by date of symptoms initiation), and daily mortality. Data on deaths after march 23rd, 2020 is used to estimate the mortality rate after the mitigation measures are implemented. Our simulations indicate that the most likely dates for maximum incidence are between late May and early June, 2020 under a scenario of high SEM compliance and low SEM abandonment rate.
Adair2020-Chest_CT_Findings_of_Early_and_Progressive_Phase_COVID-19_Infection_from_a_US_Patient	The SARS-CoV-2 infection (COVID-19), originally reported in Wuhan, China, has rapidly proliferated throughout several continents and the first case in the United States was reported on January 19, 2020. According to the ACR guidelines issued shortly after this disease was declared a pandemic, radiologists are expected to familiarize themselves with the CT appearance of COVID-19 infection in order to be able to identify specific findings of this entity. This case report discusses the relevant imaging findings of one of the first cases in the midwestern US. It involves a 60-year-old man who presented with fever, dyspnea, and cough for 1 week and subsequently tested positive for COVID-19. The utility of the noncontrast CT chest in the diagnosis of COVID-19 has been controversial, but there are specific imaging findings that have been increasingly associated with this virus in the appropriate clinical context. The stages of imaging findings in COVID-19 are considered along with the implications of fibrosis throughout the stages. Future considerations include using artificial intelligence algorithms to distinguish between community acquired pneumonias and COVID-19 infection.
Adam2020-Beyond_the_science_of_covid-19	Models of the new coronavirus's spread are imperfect, so factors other than the science play an important role too, says David Adam
Adam2020-Concerns_over_UK_advice	Key scientific data and advice to the UK government won't be published until the coronavirus pandemic ends, reports David Adam
Adamowicz2020-May_patients_receiving_5-alpha-reductase_inhibitors_be_in_higher_risk_of_COVID-19_complications	COVID-19 pandemic is a major challenge for global and national healthcare providers. Number of new cases is continuously increasing with an emerging trend showing worse prognosis in males in comparison to females. Based on this observation, our proposed hypothesis is that 5-alpha-reductase inhibitors, that are commonly used for BPH treatment, may be one of the factors contributing to poorer prognosis in males.BackgroundWith increasing number of COVID-19 cases, an evident sex- dependent difference in disease outcomes can be observed. Based on published studies with short term follow-up, males have 65% higher mortality rate . The question remains, whether long term observational studies will confirm improved recovery in females.
Adams2020-Achieving_a_Popliteal_Venous_Access_for_RRT_in_Critically_Ill_COVID-19_Patient_in_Prone_position	This patient is a 67-year-old male who initially presented to our facility with acute respiratory failure secondary to COVID-19. Soon after arrival at our facility, the patient decompensated, developing severe ARDS requiring intubation and prone positioning to maintain adequate oxygenation. Over the next few days, the patient developed acute kidney injury with oliguria and severe volume overload. The vascular surgery service was consulted to obtain central venous access for emergent CRRT. Upon our exam, the patient was sedated and paralyzed in a rotating prone-positioning bed. He could not be positioned supine without immediately becoming hypoxic and decompensating. A 50-cm Permcath was inserted via left popliteal vein. This case report outlines a possible challenging scenario that may encounter vascular interventionist when dealing with COVID-19 patients with respiratory compromise in prone position.
Adapa2020-COVID-19_and_Renal_Failure-Challenges_in_the_Delivery_of_Renal_Replacement_Therapy	Coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), first officially reported in December 2019 in Wuhan City, Hubei province, China, and has since lead to a pandemic. Most cases result in minor symptoms such as cough, fever, sore throat, myalgia, fatigue, nausea, diarrhea, loss of smell, and abdominal pain. As of April 8, 2020, more than 1,485,000 cases of COVID-19 have been reported in more than 200 countries and territories, resulting in over 90,000 deaths. Outcomes are worse in elderly patients, particularly males, and those with comorbidities, but can affect any age group. The incidence of acute kidney injury in patients with COVID-19 infection is about 3-15%; and in patients with severe infection requiring care in the intensive care unit, the rates of acute kidney injury increased significantly from 15% to 50%. Acute kidney injury is an independent risk factor for mortality in COVID-19 patients. The nephrologists, as well as intensivists, are facing immense daily challenges while providing care for these patients in the inpatient setting as well as end-stage renal disease patients on chronic dialysis in both inpatient and outpatient settings. In the current review article, we discussed the epidemiology and etiology of acute kidney injury, management of acute kidney injury including renal replacement therapy options (both hemodialysis and peritoneal dialysis) for inpatient floor, as well as intensive care unit settings. We also discussed the challenges faced by the outpatient dialysis units with COVID-19 infection. We discussed measures required to limit the spread of infection, as well as summarized the guidance as per the Centers for Disease Control and Prevention (CDC), American Society of Nephrology (ASN), American Society of Diagnostic and Interventional Nephrology (ASDIN) and the Vascular Access Society of the Americas (VASA).
Adekunle2020-Modelling_spatial_variations_of_coronavirus_disease_COVID-19_in_Africa	Clinical and epidemiological evidence has been advanced for human-to-human transmission of the novel coronavirus rampaging the world since late 2019. Outliers in the human-to-human transmission are yet to be explored. In this study, we examined the spatial density and leaned statistical credence to the global debate. We constructed spatial variations of clusters that examined the nexus between COVID-19 attributable deaths and confirmed cases. We rely on publicly available data on confirmed cases and death across Africa to unravel the unobserved factors, that could be responsible for the spread of COVID-19. We relied on the dynamic system generalised method of moment estimation procedure and found a ~0.045 Covid19 deaths as a result of confirmed cases in Africa. We accounted for cross-sectional dependence and found a basis for the strict orthogonal relationship. Policy measures were discussed.
